date,campaign_id,campaign_name,platform,impressions,clicks,spend,conversions,revenue
2026-04-01,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,35000,800,3500.00,12,60000.00
2026-04-02,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,36500,850,3750.00,14,70000.00
2026-04-03,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,33000,750,3250.00,10,50000.00
2026-04-04,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,38000,900,4000.00,16,80000.00
2026-04-05,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,32000,700,3000.00,8,40000.00
2026-04-06,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,40000,950,4250.00,18,90000.00
2026-04-07,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,42000,1000,4500.00,20,100000.00
2026-04-08,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,37500,880,3875.00,15,75000.00
2026-04-09,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,35500,820,3650.00,13,65000.00
2026-04-10,650e8400-e29b-41d4-a716-446655440001,RealEstate Luxury Display,dv360,39000,920,4100.00,17,85000.00
2026-04-01,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,28000,950,4500.00,18,72000.00
2026-04-02,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,29500,1000,5000.00,22,88000.00
2026-04-03,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,26500,900,4300.00,16,64000.00
2026-04-04,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,31000,1050,5250.00,25,100000.00
2026-04-05,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,25000,850,4000.00,14,56000.00
2026-04-06,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,32500,1100,5500.00,27,108000.00
2026-04-07,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,34000,1150,5750.00,30,120000.00
2026-04-08,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,30500,1020,5100.00,24,96000.00
2026-04-09,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,28500,950,4750.00,20,80000.00
2026-04-10,650e8400-e29b-41d4-a716-446655440011,RealEstate Prospects Video,dv360,31500,1080,5400.00,26,104000.00
2026-04-01,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,42000,1200,4200.00,20,100000.00
2026-04-02,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,44000,1250,4400.00,23,115000.00
2026-04-03,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,40000,1150,4000.00,18,90000.00
2026-04-04,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,46000,1300,4600.00,26,130000.00
2026-04-05,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,38000,1100,3800.00,16,80000.00
2026-04-06,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,48000,1350,4800.00,28,140000.00
2026-04-07,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,50000,1400,5000.00,30,150000.00
2026-04-08,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,45000,1280,4500.00,25,125000.00
2026-04-09,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,42500,1220,4250.00,22,110000.00
2026-04-10,650e8400-e29b-41d4-a716-446655440021,RealEstate Retargeting,dv360,47000,1320,4700.00,27,135000.00
