date,campaign_id,campaign_name,platform,impressions,clicks,spend,conversions,revenue
2026-04-01,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,50000,2500,1250.00,45,4500.00
2026-04-02,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,51000,2600,1300.00,50,5000.00
2026-04-03,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,49500,2450,1225.00,42,4200.00
2026-04-04,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,52000,2700,1350.00,55,5500.00
2026-04-05,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,48000,2300,1150.00,40,4000.00
2026-04-06,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,53000,2750,1375.00,58,5800.00
2026-04-07,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,54000,2800,1400.00,60,6000.00
2026-04-08,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,52500,2650,1325.00,52,5200.00
2026-04-09,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,51500,2550,1275.00,48,4800.00
2026-04-10,550e8400-e29b-41d4-a716-446655440001,TechStore Product Launch,google_ads,55000,2900,1450.00,62,6200.00
2026-04-01,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,75000,3500,1750.00,68,6800.00
2026-04-02,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,78000,3650,1825.00,72,7200.00
2026-04-03,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,76500,3575,1787.50,70,7000.00
2026-04-04,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,80000,3800,1900.00,76,7600.00
2026-04-05,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,73000,3400,1700.00,65,6500.00
2026-04-06,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,82000,3900,1950.00,78,7800.00
2026-04-07,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,85000,4000,2000.00,82,8200.00
2026-04-08,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,79000,3750,1875.00,74,7400.00
2026-04-09,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,77000,3650,1825.00,72,7200.00
2026-04-10,550e8400-e29b-41d4-a716-446655440011,TechStore Seasonal Promotion,google_ads,84000,3950,1975.00,80,8000.00
2026-04-01,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,45000,2800,1400.00,55,5500.00
2026-04-02,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,46000,2850,1425.00,58,5800.00
2026-04-03,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,44500,2750,1375.00,53,5300.00
2026-04-04,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,48000,2950,1475.00,62,6200.00
2026-04-05,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,43000,2650,1325.00,50,5000.00
2026-04-06,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,49000,3000,1500.00,64,6400.00
2026-04-07,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,51000,3100,1550.00,68,6800.00
2026-04-08,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,47500,2900,1450.00,60,6000.00
2026-04-09,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,46000,2800,1400.00,56,5600.00
2026-04-10,550e8400-e29b-41d4-a716-446655440021,TechStore Retargeting,google_ads,50000,3050,1525.00,66,6600.00
2026-04-01,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,12000,400,2000.00,8,40000.00
2026-04-02,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,13000,450,2250.00,10,50000.00
2026-04-03,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,11500,380,1900.00,7,35000.00
2026-04-04,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,14000,480,2400.00,12,60000.00
2026-04-05,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,10500,350,1750.00,6,30000.00
2026-04-06,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,15000,510,2550.00,14,70000.00
2026-04-07,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,16000,550,2750.00,16,80000.00
2026-04-08,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,13500,460,2300.00,11,55000.00
2026-04-09,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,12500,420,2100.00,9,45000.00
2026-04-10,550e8400-e29b-41d4-a716-446655440031,RealEstate Property Showcase,google_ads,14500,500,2500.00,13,65000.00
2026-04-01,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,18000,650,3250.00,12,48000.00
2026-04-02,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,19500,700,3500.00,15,60000.00
2026-04-03,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,17000,600,3000.00,10,40000.00
2026-04-04,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,21000,750,3750.00,18,72000.00
2026-04-05,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,16000,575,2875.00,8,32000.00
2026-04-06,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,22000,800,4000.00,20,80000.00
2026-04-07,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,23500,850,4250.00,22,88000.00
2026-04-08,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,20000,720,3600.00,16,64000.00
2026-04-09,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,18500,680,3400.00,14,56000.00
2026-04-10,550e8400-e29b-41d4-a716-446655440032,RealEstate Lead Generation,google_ads,21500,800,4000.00,19,76000.00
